city,stars,review_count,categories
Toronto,0,12,Italian
Toronto,0,39,Pub
Toronto,1,3,Coffee or Sandwiches
Toronto,1,55,Middle Eastern
Markham,0,80,Asian
Toronto,0,5,Asian
Toronto,0,6,Asian
Toronto,0,6,North American
Toronto,0,34,Middle Eastern
Markham,1,8,Fast Food
Toronto,1,7,Asian
Toronto,0,29,Fast Food
Missisauga,1,43,Coffee or Sandwiches
Toronto,0,165,Asian
Toronto,1,363,Pub
Toronto,1,162,Asian
Missisauga,1,22,Other
Missisauga,0,4,Middle Eastern
Toronto,0,32,Asian
Missisauga,1,8,Asian
Toronto,0,4,Fast Food
Markham,0,5,Other
Toronto,0,17,Fast Food
Missisauga,0,6,Fast Food
Toronto,0,18,Italian
Toronto,1,11,Other
Missisauga,0,3,Fast Food
Toronto,1,92,Asian
Markham,0,55,Middle Eastern
Markham,0,34,Asian
Toronto,1,5,Fast Food
Toronto,0,3,Fast Food
Toronto,0,3,Fast Food
Missisauga,0,58,Other
Markham,0,34,Asian
Toronto,0,13,Asian
Toronto,1,30,Asian
Toronto,1,138,Coffee or Sandwiches
Missisauga,0,14,Asian
Toronto,1,34,Coffee or Sandwiches
Toronto,1,6,Asian
Toronto,1,6,Other
Toronto,1,11,Asian
Toronto,1,3,Other
Toronto,0,13,Fast Food
Markham,0,36,Asian
Toronto,1,7,Latin
Missisauga,0,4,Fast Food
Toronto,1,53,North American
Missisauga,0,3,Fast Food
Missisauga,0,105,North American
Toronto,0,17,Italian
Toronto,1,31,Latin
Toronto,1,70,Other
Toronto,1,15,Coffee or Sandwiches
Missisauga,0,19,Other
Toronto,0,35,Fast Food
Missisauga,0,15,Middle Eastern
Missisauga,0,5,Fast Food
Toronto,0,10,Asian
Toronto,1,38,Latin
Missisauga,1,22,Middle Eastern
Markham,1,196,Asian
Toronto,0,58,Fast Food
Toronto,0,3,Other
Toronto,0,38,Coffee or Sandwiches
Markham,0,32,Asian
Toronto,0,9,Fast Food
Toronto,0,6,Asian
Toronto,0,19,Middle Eastern
Toronto,1,147,Asian
Toronto,1,9,Coffee or Sandwiches
Toronto,1,117,North American
Toronto,0,31,Asian
Missisauga,0,82,Pub
Toronto,1,26,Other
Toronto,0,14,Middle Eastern
Toronto,1,13,Middle Eastern
Toronto,0,9,Latin
Markham,0,13,Asian
Toronto,0,28,Asian
Missisauga,0,41,Middle Eastern
Toronto,0,34,Pub
Toronto,1,268,North American
Toronto,1,122,Other
Toronto,1,17,Coffee or Sandwiches
Toronto,0,3,North American
Toronto,1,32,Pub
Toronto,0,8,Asian
Toronto,0,15,Italian
Toronto,0,4,Fast Food
Toronto,1,17,North American
Toronto,1,62,Fast Food
Toronto,1,61,Coffee or Sandwiches
Toronto,0,67,Fast Food
Missisauga,1,62,Middle Eastern
Markham,0,9,Asian
Toronto,0,19,Middle Eastern
Toronto,0,14,Fast Food
Toronto,0,11,Asian
Missisauga,0,34,Italian
Toronto,1,11,North American
Toronto,1,4,Coffee or Sandwiches
Missisauga,0,8,North American
Missisauga,0,44,Coffee or Sandwiches
Missisauga,0,3,Asian
Toronto,1,6,Fast Food
Toronto,1,9,Other
Missisauga,0,6,Latin
Toronto,0,12,Other
Toronto,0,139,Coffee or Sandwiches
Toronto,0,64,North American
Toronto,0,9,Italian
Toronto,0,4,Other
Toronto,0,25,Fast Food
Toronto,0,48,Fast Food
Toronto,0,13,Middle Eastern
Toronto,1,223,Asian
Toronto,0,124,North American
Toronto,0,24,Asian
Missisauga,1,26,Middle Eastern
Toronto,1,82,Pub
Toronto,0,25,Middle Eastern
Toronto,0,25,North American
Toronto,0,19,Pub
Toronto,0,27,Asian
Toronto,1,6,Coffee or Sandwiches
Toronto,0,5,Fast Food
Toronto,0,5,Coffee or Sandwiches
Toronto,0,28,Other
Toronto,0,7,Asian
Toronto,0,10,Other
Toronto,0,22,Middle Eastern
Toronto,1,159,North American
Markham,0,109,Asian
Toronto,0,7,Latin
Toronto,0,27,Asian
Missisauga,1,8,Coffee or Sandwiches
Missisauga,0,13,North American
Toronto,0,10,Middle Eastern
Toronto,1,15,Coffee or Sandwiches
Toronto,1,82,Asian
Toronto,1,15,Coffee or Sandwiches
Missisauga,0,19,Latin
Missisauga,0,127,Asian
Toronto,0,15,Fast Food
Markham,0,28,Middle Eastern
Toronto,1,68,Coffee or Sandwiches
Markham,0,118,Asian
Toronto,0,13,North American
Toronto,0,9,Fast Food
Toronto,1,4,Middle Eastern
Toronto,0,23,North American
Toronto,0,24,Other
Toronto,0,10,North American
Toronto,1,5,Asian
Toronto,0,3,Coffee or Sandwiches
Toronto,0,4,Asian
Toronto,1,381,Asian
Missisauga,0,23,Fast Food
Toronto,0,67,North American
Markham,0,7,Asian
Toronto,1,5,Latin
Toronto,0,11,Asian
Missisauga,1,27,Fast Food
Toronto,0,14,Asian
