Location,Scent,Treatment
Top,28,Scent
Top,19,Scent
Top,32,Scent
Top,15,Scent
Top,13,Scent
Middle,39,Scent
Middle,12,Scent
Middle,42,Scent
Middle,25,Scent
Middle,21,Scent
Lower,44,Scent
Lower,21,Scent
Lower,38,Scent
Lower,32,Scent
Lower,29,Scent
Ground,17,Scent
Ground,12,Scent
Ground,23,Scent
Ground,19,Scent
Ground,14,Scent
Top,35,Sugar
Top,22,Sugar
Top,33,Sugar
Top,21,Sugar
Top,17,Sugar
Middle,36,Sugar
Middle,38,Sugar
Middle,44,Sugar
Middle,27,Sugar
Middle,22,Sugar
Lower,42,Sugar
Lower,17,Sugar
Lower,31,Sugar
Lower,29,Sugar
Lower,37,Sugar
Ground,18,Sugar
Ground,27,Sugar
Ground,15,Sugar
Ground,29,Sugar
Ground,16,Sugar
Top,32,Chemical
Top,29,Chemical
Top,16,Chemical
Top,18,Chemical
Top,20,Chemical
Middle,37,Chemical
Middle,40,Chemical
Middle,18,Chemical
Middle,28,Chemical
Middle,36,Chemical
Lower,35,Chemical
Lower,39,Chemical
Lower,41,Chemical
Lower,31,Chemical
Lower,34,Chemical
Ground,22,Chemical
Ground,25,Chemical
Ground,14,Chemical
Ground,16,Chemical
Ground,19,Chemical
